stop_id_modified_from,stop_id_modified_to,time,speed,number_of_trips
33450,32198,0.016388889,38.92876922,2
32198,31657,0.018611111,34.28055841,5
38804,34608,0.009722222,65.62278434,13
38946,39307,0.016944444,37.65241737,13
39307,38806,0.018055556,35.33534374,11
38806,38807,0.016111111,59.73637216,17
38704,33099,0.015,64.16128818,2
33099,39438,0.0175,54.99538987,1
39438,33686,0.015277778,62.99471839,1
33686,39437,0.016666667,57.74515821,1
39437,39436,0.023888889,40.2873203,1
38955,39435,0.018888889,50.9516109,1
35287,32350,0.020555556,46.82039847,1
32350,33935,0.018055556,53.30322271,2
33935,34009,0.016111111,59.73637216,2
34009,33411,0.021666667,36.42548155,3
31402,31846,0.023888889,33.03706502,2
611,34110,0.020555556,38.39442626,2
34110,33483,0.020555556,38.39442626,3
33483,35659,0.023055556,34.2311753,3
35659,32209,0.025277778,31.22184154,4
32209,35516,0.025277778,31.22184154,4
35516,34659,0.025,31.56875116,4
34659,32258,0.024444444,32.28622337,4
32258,32954,0.022777778,34.64862899,3
32954,33559,0.010277778,26.87247933,3
33559,34626,0.008888889,31.07130451,4
34626,32163,0.009166667,30.12974911,4
32163,33467,0.009166667,30.12974911,6
33467,36133,0.010833333,25.4944048,5
36133,33376,0.009166667,30.12974911,5
33376,33868,0.009166667,30.12974911,5
33868,33596,0.005277778,52.33061657,5
33596,32793,0.008055556,34.28557593,6
32793,32968,0.008055556,34.28557593,6
32968,32864,0.015277778,31.98429173,5
32864,33516,0.015833333,30.86203698,6
33516,34371,0.014166667,34.49286332,6
34371,31935,0.0125,39.09191268,6
